'time_shown=1700808368.1041849', 'L RGB=(27, 19, 220)', 'R RGB=(34, 41, 183)', 'L lightness=119.5', 'R lightness=108.5', 'selected_rect=R', 'time_solved=1700808369.4879477', 'spent=1.3837628364562988', 'result=Loss', 'delta lightness abs=11.0'
'time_shown=1700808369.5048752', 'L RGB=(13, 11, 86)', 'R RGB=(15, 16, 91)', 'L lightness=48.50000000000001', 'R lightness=53.0', 'selected_rect=L', 'time_solved=1700808370.9201553', 'spent=1.4152801036834717', 'result=Loss', 'delta lightness abs=4.499999999999993'
'time_shown=1700808419.1206644', 'L RGB=(248, 119, 139)', 'R RGB=(236, 100, 113)', 'L lightness=183.5', 'R lightness=168.0', 'selected_rect=R', 'time_solved=1700808419.88473', 'spent=0.7640657424926758', 'result=Loss', 'delta lightness abs=15.5'
'time_shown=1700808419.9219177', 'L RGB=(145, 99, 142)', 'R RGB=(91, 93, 104)', 'L lightness=121.99999999999999', 'R lightness=97.5', 'selected_rect=L', 'time_solved=1700808420.93708', 'spent=1.0151622295379639', 'result=Win', 'delta lightness abs=24.499999999999986'
'time_shown=1700808420.9664814', 'L RGB=(165, 203, 238)', 'R RGB=(142, 170, 213)', 'L lightness=201.50000000000003', 'R lightness=177.5', 'selected_rect=L', 'time_solved=1700808421.353036', 'spent=0.386554479598999', 'result=Win', 'delta lightness abs=24.00000000000003'
'time_shown=1700808421.3827522', 'L RGB=(108, 255, 160)', 'R RGB=(106, 255, 145)', 'L lightness=181.5', 'R lightness=180.5', 'selected_rect=L', 'time_solved=1700808421.9574053', 'spent=0.574653148651123', 'result=Win', 'delta lightness abs=1.0'
'time_shown=1700808422.007411', 'L RGB=(0, 246, 230)', 'R RGB=(0, 204, 250)', 'L lightness=123.0', 'R lightness=125.0', 'selected_rect=L', 'time_solved=1700808422.4047341', 'spent=0.3973231315612793', 'result=Loss', 'delta lightness abs=2.0'
'time_shown=1700808422.4400887', 'L RGB=(147, 124, 96)', 'R RGB=(169, 124, 117)', 'L lightness=121.5', 'R lightness=143.0', 'selected_rect=L', 'time_solved=1700808422.9533372', 'spent=0.5132484436035156', 'result=Loss', 'delta lightness abs=21.5'
'time_shown=1700808422.9845831', 'L RGB=(186, 131, 98)', 'R RGB=(190, 133, 145)', 'L lightness=142.0', 'R lightness=161.5', 'selected_rect=L', 'time_solved=1700808423.3880775', 'spent=0.40349435806274414', 'result=Loss', 'delta lightness abs=19.5'
'time_shown=1700808423.4248827', 'L RGB=(208, 254, 62)', 'R RGB=(220, 245, 82)', 'L lightness=158.0', 'R lightness=163.5', 'selected_rect=L', 'time_solved=1700808423.8619993', 'spent=0.4371166229248047', 'result=Loss', 'delta lightness abs=5.5'
'time_shown=1700808423.9034464', 'L RGB=(179, 197, 235)', 'R RGB=(150, 189, 213)', 'L lightness=207.0', 'R lightness=181.5', 'selected_rect=L', 'time_solved=1700808424.2517397', 'spent=0.3482933044433594', 'result=Win', 'delta lightness abs=25.5'
